,state,action,reward,new_state,terminal
60,"(-0.9615238904953003, 0.21396282315254211, 0.01820080541074276, -0.00840701460838318, -0.007944738864898682, 0.00017578415572643282, 0.9681075811386108, -0.09971234947443008)","[0, 1]",-1.5228395938006396,"(-1.0247976779937744, 0.13098709285259247, 0.019589681178331375, -0.006327378749847412, -0.008297573029994966, 0.00013888757675886154, 0.9681075811386108, -0.09273102879524231)",False
61,"(-1.0247976779937744, 0.13098709285259247, 0.019589681178331375, -0.006327378749847412, -0.008297573029994966, 0.00013888757675886154, 0.9681075811386108, -0.09273102879524231)","[1, 0]",-1.3036180195430354,"(-1.075235366821289, 0.04228832572698593, 0.020708872005343437, -0.005043768882751465, -0.008869876712560653, 0.00011191908270120622, 1.0681076049804688, -0.09273102879524231)",False
62,"(-1.075235366821289, 0.04228832572698593, 0.020708872005343437, -0.005043768882751465, -0.008869876712560653, 0.00011191908270120622, 1.0681076049804688, -0.09273102879524231)","[1, -1]",-1.2141761083426017,"(-1.1073863506317139, -0.05689374729990959, 0.02147800475358963, -0.0032150983810424806, -0.009918207302689552, 7.691327482461929e-05, 1.1681076288223267, -0.09971234947443008)",False
63,"(-1.1073863506317139, -0.05689374729990959, 0.02147800475358963, -0.0032150983810424806, -0.009918207302689552, 7.691327482461929e-05, 1.1681076288223267, -0.09971234947443008)","[-1, 0]",-1.2359058744304154,"(-1.1050269603729248, -0.16590160131454468, 0.021663662046194077, 0.00023593902587890626, -0.01090078540146351, 1.8565729260444644e-05, 1.0681076049804688, -0.09971234947443008)",False
64,"(-1.1050269603729248, -0.16590160131454468, 0.021663662046194077, 0.00023593902587890626, -0.01090078540146351, 1.8565729260444644e-05, 1.0681076049804688, -0.09971234947443008)","[-1, 0]",-1.0996514557224741,"(-1.0569318532943726, -0.27645549178123474, 0.02109503373503685, 0.004809510707855225, -0.011055389046669008, -5.6862831115722656e-05, 0.9681075811386108, -0.09971234947443008)",False
65,"(-1.0569318532943726, -0.27645549178123474, 0.02109503373503685, 0.004809510707855225, -0.011055389046669008, -5.6862831115722656e-05, 0.9681075811386108, -0.09971234947443008)","[0, 0]",-0.9828891756320285,"(-0.9674511551856995, -0.37893134355545044, 0.019818570464849472, 0.00894806981086731, -0.01024758517742157, -0.0001276463270187378, 0.9681075811386108, -0.09971234947443008)",False
66,"(-0.9674511551856995, -0.37893134355545044, 0.019818570464849472, 0.00894806981086731, -0.01024758517742157, -0.0001276463270187378, 0.9681075811386108, -0.09971234947443008)","[-1, -1]",-0.9145754286328482,"(-0.8494633436203003, -0.4696662127971649, 0.018010057508945465, 0.011798781156539918, -0.009073486924171448, -0.0001808512955904007, 0.8681075572967529, -0.10669367015361786)",False
67,"(-0.8494633436203003, -0.4696662127971649, 0.018010057508945465, 0.011798781156539918, -0.009073486924171448, -0.0001808512955904007, 0.8681075572967529, -0.10669367015361786)","[-1, -1]",-0.9511611103250368,"(-0.7085385918617249, -0.5504661798477173, 0.015754828229546547, 0.014092475175857544, -0.008079996705055237, -0.00022552292793989184, 0.768107533454895, -0.11367499083280563)",False
68,"(-0.7085385918617249, -0.5504661798477173, 0.015754828229546547, 0.014092475175857544, -0.008079996705055237, -0.00022552292793989184, 0.768107533454895, -0.11367499083280563)","[-1, 0]",-1.005943741737528,"(-0.5382450819015503, -0.6209320425987244, 0.012972629629075527, 0.017029350996017458, -0.007046586275100708, -0.00027821986004710196, 0.6681075096130371, -0.11367499083280563)",False
69,"(-0.5382450819015503, -0.6209320425987244, 0.012972629629075527, 0.017029350996017458, -0.007046586275100708, -0.00027821986004710196, 0.6681075096130371, -0.11367499083280563)","[0, 0]",-0.9765951527001812,"(-0.3333982825279236, -0.6732665300369263, 0.009593724273145199, 0.020484679937362672, -0.005233448743820191, -0.00033789053559303285, 0.6681075096130371, -0.11367499083280563)",False
70,"(-0.3333982825279236, -0.6732665300369263, 0.009593724273145199, 0.020484679937362672, -0.005233448743820191, -0.00033789053559303285, 0.6681075096130371, -0.11367499083280563)","[0, -1]",-1.0231550323394725,"(-0.10586310178041458, -0.6967197060585022, 0.005782716441899538, 0.0227535180747509, -0.002345317602157593, -0.0003811007831245661, 0.6681075096130371, -0.12065631151199341)",False
71,"(-0.10586310178041458, -0.6967197060585022, 0.005782716441899538, 0.0227535180747509, -0.002345317602157593, -0.0003811007831245661, 0.6681075096130371, -0.12065631151199341)","[-1, -1]",-1.2206434488987097,"(0.11682968586683273, -0.6873531341552734, 0.001931476523168385, 0.02226927876472473, 0.000936657190322876, -0.00038512399187311534, 0.5681074857711792, -0.12763762474060059)",False
